,property_name,society,property_type,price,price_per_sq,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,noOfFloor,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating
497,6 Bedroom House for sale in Sector 33 Gurgaon,unitech uniworld resorts,houses,8.0,17778.0,4500.0,Built Up area: 500 (418.06 sq.m.),6,5,3,not available,"A 121 The Villas Uniworld Resorts, Sector 33 Gurgaon, Gurgaon, Haryana",4,Na,undefined,,6bhk villa for resale in unitech the villas at sector 33 unitech the villas a 121 the villas uniworld resorts,,,"['environment3 out of 5', 'lifestyle4 out of 5', 'connectivity4 out of 5', 'safety4 out of 5']"
498,4 Bedroom House for sale in Sector 82 Gurgaon,vatika india next,houses,6.5,20062.0,3240.0,Built Up area: 360 (301.01 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),4,3,0,not available,"Sector 82, Sector 82 Gurgaon, Gurgaon, Haryana",2,Na,undefined,"['sapphire 83 mall', 'dwarka expressway', 'delhi public school', 'miracles apollo hospital', 'igi airport', 'garhi harsaru junction', 'hyatt regency hotel', 'cricket academy']",4bhk villa for resale in vatika india next at sector 82 vatika india next sector 82,,,"['environment4 out of 5', 'lifestyle4 out of 5', 'connectivity4 out of 5', 'safety4 out of 5']"
499,7 Bedroom House for sale in Sector 7 Gurgaon,independent,houses,3.0,11494.0,2610.0,Built Up area: 2610 (242.48 sq.m.),7,7,0,not available,"Sector 7 Ext, Sector 7 Gurgaon, Gurgaon, Haryana",3,Na,undefined,,7bhk residential house for resale in sector 7 ext sector 7 ext,"['1 wardrobe', '1 fan', '1 light', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no geyser', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']",,"['environment4 out of 5', 'lifestyle4 out of 5', 'connectivity4 out of 5', 'safety4 out of 5']"
500,6 Bedroom House for sale in Sector 52 Gurgaon,raj villas,houses,8.0,25543.0,3132.0,Carpet area: 348 (290.97 sq.m.),6,5,3,not available,"B21, Sector 63,gurgaon, Sector 52 Gurgaon, Gurgaon, Haryana",4,East,undefined,"['pracksht hospital', 'international tech park', 'intellion park', 'spaze business park', 'hdfc bank']","6bhk villa for resale in anant raj manor villas at sector 63a anant raj manor villas b21, sector 63,gurgaon","['1 light', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no fan', 'no geyser', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']",,"['environment4 out of 5', 'lifestyle5 out of 5', 'connectivity5 out of 5', 'safety4 out of 5']"
501,6 Bedroom House for sale in Sector 12A Gurgaon,independent,houses,2.75,12343.0,2228.0,Built Up area: 2228 (206.99 sq.m.),6,6,2,not available,"Gurgaon, Sector 12A Gurgaon, Gurgaon, Haryana",2,Na,undefined,,6bhk residential house for resale in sector 12a gurgaon,,,"['environment3 out of 5', 'lifestyle4 out of 5', 'connectivity4.5 out of 5', 'safety4 out of 5']"
502,5 Bedroom House for sale in Sector 7 Gurgaon,independent,houses,2.25,16892.0,1332.0,Built Up area: 148 (123.75 sq.m.),5,3,0,not available,"Sector 7, Sector 7 Gurgaon, Gurgaon, Haryana",2,Na,undefined,,5bhk residential house for resale in sector 7 sector 7,,,"['environment4 out of 5', 'lifestyle4 out of 5', 'connectivity4 out of 5', 'safety4 out of 5']"
503,3 Bedroom House for sale in Gandhi Nagar,independent,houses,1.45,8000.0,1812.0,Built Up area: 1800 (167.23 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),3,2,1,not available,"68/179 Gali No 10 Gandhi Nagar Sector 11 Near Sharda International School Gurgaon, Gandhi Nagar, Gurgaon, Haryana",1,North,1 to 5 Year Old,"['shri balaji hospital and trauma center', 'kamla hospital gurgaon', 'shri multispeciality hospital', 'yadav hospital gurgoan', 'chandna dental surgery orthodontic and implant centre', 'the muskan dental clinic', 'dental xpert dental clinic', 'harshila dental clinic', 'gautam hospital', 'clove dental', 'boxer fuel point', 'basai dhankot railway station']",3bhk residential house for sale. 68/179 gali no 10 gandhi nagar sector 11 near sharda international school gurgaon,,,"['environment4 out of 5', 'lifestyle4 out of 5', 'connectivity5 out of 5', 'safety3 out of 5']"
504,3 Bedroom House for sale in Lajpat Nagar,independent,houses,3.5,17500.0,2000.0,Plot area 2200(204.39 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.),3,3,1,not available,"H.No. 77, Lajpat Nagar Near Miawali Colony, Lajpat Nagar, Gurgaon, Haryana",2,North-East,undefined,,"3bhk residential house for resale in lajpat nagar h.No. 77, lajpat nagar near miawali colony","['1 wardrobe', '1 fan', '1 light', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no geyser', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']",,
505,3 Bedroom House for sale in Sohna Gurgaon Road,independent,houses,0.82,3904.0,2100.0,Carpet area: 2100 (195.1 sq.m.),3,2,1,not available,"Sohna Gurgaon Road, Sohna Gurgaon Road, Gurgaon, Haryana",1,North,undefined,"['icici bank atm', 'standard chartered atm', 'best urologist atcomplete family clinic', 'wellness eye centre', 'dr. aruna kalra', 'neelkanth health care', 'dr. anuj sharma', 'dr. naresh pandita', 'vishesh dental', 'park hospital gurgaon', 'skin clinic', 'divine look clinic centre', 'bones clinic - orthopaedics', 'meher clinic', 'samvit health care', 'sukhmani hospital pvt. ltd', ""dr akram jawed's the upper limb clinic"", 'ekta hospital', 'sai heart and trauma center', 'medanta', 'sai dharamraj hospital', 'sanjeevani hospital gurgaon', 'sona devi memorial hospital and trauma centre', 'wembley estate club', 'apollo pharmacy', 'gardian pharmacy', 'genius', 'kore tech park', 'spaze business park', 'india oil', 'hdfc bank', 'icici bank', 'hdfc bank', 'indusind bank', 'hdfc bank', 'srs cinemas', 'srs cinemas', ""domino's pizza"", ""nirula's"", 'haldiram', 'nook', 'starbucks', 'india', 'kfc', 'delhi public school primary section', 'kamla international']",3bhk residential house for resale in sohna gurgaon road sohna gurgaon road,"['1 light', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no fan', 'no geyser', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']",,
506,5 Bedroom House for sale in Sector 108 Gurgaon,sobha city,houses,10.5,14323.0,7331.0,Built Up area: 7331 (681.07 sq.m.),5,4,3,not available,"Sector 109, Sector 108 Gurgaon, Gurgaon, Haryana",1,East,undefined,"['dwarka sector 21', 'dwarka expressway', 'vasant kunj', 'the shikshiyan school', 'the northcap university', 'rions hospital', 'igi airport', 'gurgaon', 'wtc plaza', 'luxus haritma resort', 'fun n food waterpark', 'bsf golf course', 'nehru stadium']",Most luxurious property in the vicinity sobha international city sector 109,,,"['environment4 out of 5', 'lifestyle4.5 out of 5', 'connectivity4.5 out of 5', 'safety4.5 out of 5']"
507,3 Bedroom House for sale in Jacobpura,independent,houses,0.38,4222.0,900.0,Plot area 900(83.61 sq.m.),3,3,3,not available,"Jacobpura, Gurgaon, Haryana",3,Na,1 to 5 Year Old,"['hanuman mandir', 'rajiv memorial eye infirmary jacobpura', 'sharma hospital gurgaon', 'gupta hospital gurgaon', 'ahooja eye and dental institute hospital', 'dr. sandeep chauhan', 'verma e.n.t. hospital', 'nova care clinic', 'dr. ajay s. gupta clinic', 'dental health centre', 'lall eye care centre', 'om charitable dental & implant centre', 'lall nursing and maternity home', 'dentecare - multispeciality dental clinic', 'kharbanda maternity and nursing home', 'm goel hospital', 'lalit dental care', 'aarvy hospital', 'triveni hospital gurgaon', 'kidney clinic', 'my care clinic', 'm.s hospital', 'centre for sight gurgaon new railway road', 'bindal clinic', 'dr. sarvejeet singh', 'jackson hospital', 'rama hospital & nursing home', 'pasricha hospital and maternity home', 'bhatnagar maternity and nursing home', 'ravi clinic and health care centre', 'swastik maternity and medical centre', 'thakral nursing and maternity home', 'lotus hospital gurgaon', 'mamta hospital gurgaon', 'shubham hospital gurgaon', 'chiranjiv hospital', 'nangia hospital ent and maternity', 'sethi hospital gurgaon', 'tirath ram hospitals pvt ltd', 'sparsh hospital gurgaon', 'satyam hospital gurgaon', 'ibp petrol station', 'indian oil', 'indian oil', 'punjab national bank', 'state bank of india sbi', 'rang parivartan', 'govt sec school', 'dronacharya government college', 'district library gurgaon']",40 gaj house 3 storiey building,[],,"['environment3 out of 5', 'lifestyle4 out of 5', 'connectivity5 out of 5', 'safety4 out of 5']"
508,5 Bedroom House for sale in Sector 33 Gurgaon,unitech uniworld resorts,houses,10.0,181818.0,550.0,Plot area 550(51.1 sq.m.),5,6,3,"study room,servant room","Sector 33 Gurgaon, Gurgaon, Haryana",4,North-East,0 to 1 Year Old,"['rajiv chowk mosque', 'airforce hospital', 'samvit health care', 'smile plus dental clinic', 'medanta', 'pushpanjali hospital gurgaon', 'rajendra hospital', 'bansal medicare and maternity centre', 'vaishnavi nursing home', 'pushpanjali hospital', 'parmar dental clinic & lab', ""dr akram jawed's the upper limb clinic"", 'rachna dental clinic', 'shri ram dental clinic', 'ayushman hospital and trauma centre', 'nutan dental hospital', 'sai dental clinic', 'thakral nursing and maternity home', 'sunrise hospital gurgaon', 'kathuria hospital', 'bhanu dental care', 'parashar hospital', 'vinayak hospital gurgaon', 'clove dental', 'gautam hospital', 'harshila dental clinic', 'nangia hospital ent and maternity', 'dental xpert dental clinic', 'rama hospital & nursing home', 'sukhmani hospital pvt. ltd', 'pasricha hospital and maternity home', 'aarvy hospital', 'sethi hospital gurgaon', 'shubham hospital gurgaon', 'the muskan dental clinic', 'dayal eye & maternity centre', 'mangalam hospital and heart centre gurgaon', 'road and traffic authority', 'gurgaon election commission', 'indian oil', 'india oil', 'ibp petrol station', 'srs cinemas', 'kfc', 'darbar', 'kendriya vidyalaya no.2 sohna road', 'cr model public school']","It is a corner and east facing villa. The possession is taken and lots of improvement work been carried out. It has lift installed and has basement, ground floor, first and second floor built up. It offers 5 bedrooms, drawing dining , family lounge, store and sq. Vastu perfect. It has front side garden, big back yard and big balconies. Terrace has a splash pool provision. Please call for further knformmatio information.",,"['feng shui / vaastu compliant', 'maintenance staff', 'park', 'rain water harvesting']","['environment3 out of 5', 'lifestyle4 out of 5', 'connectivity4 out of 5', 'safety4 out of 5']"
509,2 Bedroom House for sale in Mahavir pura,mahavir pura,houses,0.75,75000.0,100.0,Plot area 100(9.29 sq.m.),2,3,2,not available,"Mahavir pura, Gurgaon, Haryana",3,Na,10+ Year Old,"['sheetla mata mandir', 'bhatnagar maternity and nursing home', 'dr. sarvejeet singh', 'centre for sight gurgaon new railway road', 'kidney clinic', 'sparsh hospital gurgaon', 'dr. agya ram sharma clinic', 'jackson hospital', 'lalit dental care', 'm goel hospital', 'kharbanda maternity and nursing home', 'dentecare - multispeciality dental clinic', 'lall nursing and maternity home', 'om charitable dental & implant centre', 'lall eye care centre', 'd.r. rajnis gupta clinic', 'gh gurgaon', 'dental health centre', 'ravi clinic and health care centre', 'aryan hospital', 'nova care clinic', 'verma e.n.t. hospital', 'gupta hospital gurgaon', 'bindal clinic', 'geeta nursing home gurgaon', 'm.s hospital', 'triveni hospital gurgaon', 'gurgaon eye centre', 'my care clinic', 'dr. ajay s. gupta clinic', 'mamta hospital gurgaon', 'ahooja eye and dental institute hospital', 'rajiv memorial eye infirmary jacobpura', 'lotus hospital gurgaon', 'chiranjiv hospital', 'dr. sandeep chauhan', 'sharma hospital gurgaon', 'nidhi clinic', 'swastik maternity and medical centre', 'dr. tomar clinic', 'children hospital', 'dr. babita sharma', 'sarvodya hospital', 'jeevan jyoti hospital gurgaon', 'state bank of india', 'punjab national bank', 'rang parivartan', 'dronacharya government college', 'st. michaels sr. sec. school', 'govt sec school']",In the middle of the city and have access to all amenities.Metro is planned and will have a station within 2 km radius,[],,
510,7 Bedroom House for sale in Malibu Town,independent,houses,4.6,26620.0,1728.0,Plot area 192(160.54 sq.m.),7,6,3,not available,"Malibu Town, Gurgaon, Haryana",4,Na,5 to 10 Year Old,"['standard chartered atm', 'icici bank atm', 'park hospital gurgaon', 'vishesh dental', 'neelkanth health care', 'best urologist atcomplete family clinic', 'wellness eye centre', 'dr. aruna kalra', 'meher clinic', 'dr. anuj sharma', 'dr. naresh pandita', 'bones clinic - orthopaedics', 'skin clinic', 'divine look clinic centre', 'sukhmani hospital pvt. ltd', ""dr akram jawed's the upper limb clinic"", 'samvit health care', 'medanta', 'vatsalya clinic', 'wembley estate club', 'apollo pharmacy', 'gardian pharmacy', 'genius', 'spaze business park', 'india oil', 'hdfc bank', 'hdfc bank', 'icici bank', 'hdfc bank', 'srs cinemas', 'srs cinemas', 'haldiram', ""domino's pizza"", ""nirula's"", 'india', 'nook', 'starbucks', 'kfc', 'madison and pike', 'delhi public school primary section', 'kamla international', 'gurugram university', 'amity global school', 'manav rachna school', 'manav rachna swimming pool']",7 bhk fully furnished property available at premium location in malibu towne,"['11 wardrobe', '1 water purifier', '1 fridge', '1 washing machine', '8 ac', '1 modular kitchen', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no fan', 'no geyser', 'no light', 'no microwave', 'no sofa', 'no stove', 'no tv']","['private garden / terrace', 'high ceiling height', 'maintenance staff', 'false ceiling lighting', 'water storage', 'park', 'rain water harvesting']","['environment5 out of 5', 'lifestyle4 out of 5', 'connectivity5 out of 5', 'safety5 out of 5']"
511,2 Bedroom House for sale in Sohna Road,independent,houses,0.5,5555.0,900.0,Plot area 900(83.61 sq.m.),2,1,2,not available,"Sohna Road, Gurgaon, Haryana",1,Na,5 to 10 Year Old,"['rajiv chowk mosque', 'standard chartered atm', 'icici bank atm', 'samvit health care', ""dr akram jawed's the upper limb clinic"", 'medanta', 'sukhmani hospital pvt. ltd', 'airforce hospital', 'park hospital gurgaon', 'vishesh dental', 'neelkanth health care', 'best urologist atcomplete family clinic', 'wellness eye centre', 'dr. aruna kalra', 'bansal medicare and maternity centre', 'meher clinic', 'pushpanjali hospital gurgaon', 'dispencery', 'dr. anuj sharma', 'dr. naresh pandita', 'pushpanjali hospital', 'bones clinic - orthopaedics', 'smile plus dental clinic', 'vaishnavi nursing home', 'skin clinic', 'rajendra hospital', 'road and traffic authority', 'gurgaon election commission', 'apollo pharmacy', 'gardian pharmacy', 'genius', 'india oil', 'srs cinemas', 'srs cinemas', 'hdfc bank', 'icici bank', 'hdfc bank', 'kfc', 'haldiram', ""domino's pizza"", 'darbar', ""nirula's"", 'kendriya vidyalaya no.2 sohna road', 'delhi public school primary section', 'cr model public school', 'manav rachna school', 'manav rachna swimming pool']","I am looking for buyer to purchase house/villa available for sale in sohna road, gurgaon. Available at price of rs 50 lacs. It has plot area of 900 sq ft. It has 2 bhk, 1 bathroom, 2 balcony.It is a power of attorney property",[],,
512,10 Bedroom House for sale in Sector 39 Gurgaon,independent,houses,7.0,10000.0,7000.0,Plot area 350(32.52 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.),10,11,3,pooja room,"167, Sector 39 Gurgaon, Gurgaon, Haryana",4,South-East,1 to 5 Year Old,"['rajiv chowk mosque', 'state bank of india atm', 'axis bank atm', 'icici bank atm', 'hdfc bank atm', 'state bank of india atm', 'icici atm', 'citi bank atm', 'axis bank atm', 'hdfc atm', 'dispencery', ""dr akram jawed's the upper limb clinic"", 'sukhmani hospital pvt. ltd', 'medanta', 'bansal medicare and maternity centre', 'samvit health care', 'shivam hospital gurgaon', 'pushpanjali hospital gurgaon', 'pushpanjali hospital', 'dayal eye & maternity centre', 'ahmed hospital multi speciality', 'gurgaon election commission', 'road and traffic authority', 'gardian pharmacy', 'pernod ricard charitable dispensary', 'city medical', 'gardian pharmacy', 'ibp petrol pump', 'india oil', 'hdfc bank', 'srs cinemas', 'kfc', 'raj restaurant', 'om sweets', 'fast food', 'fast food', 'bar and restaurant', 'darbar', 'cafe coffee day', '32nd milestone', 'cr model public school', 'manav rachna school', 'delhi public school primary section', 'st. angels jr', 'amity global school', 'st. angels sr', 'kendriya vidyalaya no.2 sohna road', 'school of inspired leadership soil', 'manav rachna swimming pool']","Luxury house 10 bhk, floor wise, basement plus 2.5 storeys, built-Up area approx 7000 sq ft, high end specifications like complete burma teak wood work except stairs, stairs railing in cp wood, security glass on ground and basement, lighting automation on ground and basement, all led lighting except cobe, cfl tubes in cobes,","['1 water purifier', '38 fan', '1 exhaust fan', '1 geyser', '100 light', '1 curtains', '1 chimney', '1 modular kitchen', '7 bed', '18 wardrobe', '1 sofa', 'no ac', 'no dining table', 'no microwave', 'no fridge', 'no stove', 'no tv', 'no washing machine']","['security / fire alarm', 'water purifier', 'high ceiling height', 'false ceiling lighting', 'natural light']","['environment4 out of 5', 'lifestyle4 out of 5', 'connectivity5 out of 5', 'safety4 out of 5']"
513,2 Bedroom House for sale in Jacobpura,jacob pura,houses,0.35,9722.0,360.0,Built Up area: 360 (33.45 sq.m.),2,1,0,not available,"15/3, Jacobpura, Jacobpura, Gurgaon, Haryana",,Na,10+ Year Old,,Independece house for sale in jacobpura near kabir bhawan gurgaon,[],,"['environment3 out of 5', 'lifestyle4 out of 5', 'connectivity5 out of 5', 'safety4 out of 5']"
514,5 Bedroom House for sale in Sector 37B Gurgaon,independent,houses,0.95,9500.0,1000.0,Plot area 1000(92.9 sq.m.),5,3,2,pooja room,"House No 69, Sector 37B Gurgaon, Gurgaon, Haryana",2,West,1 to 5 Year Old,"['shri balaji hospital and trauma center', 'kamla hospital gurgaon', 'yadav hospital gurgoan', 'chandna dental surgery orthodontic and implant centre', 'the muskan dental clinic', 'dental xpert dental clinic', 'shri multispeciality hospital', 'harshila dental clinic', 'clove dental', 'gautam hospital', 'sunrise hospital gurgaon', 'ayushman hospital and trauma centre', 'sai dental clinic', 'shri ram dental clinic', 'vaishnavi nursing home', 'nutan dental hospital', 'bhanu dental care', 'parmar dental clinic & lab', 'boxer fuel point', 'petrol pump ibp', 'basai dhankot railway station']",Interested to sell independent house/villa.Placed at sector-37b gurgaon.Nice unfurnished enhancing decorit has spacious 5 bedrooms and 3 bathrooms. .Want to sell it for rs 9500000.It is a 1-5 years old property construction,,,
515,1 Bedroom House for sale in Sector 39 Gurgaon,independent,houses,1.6,17937.0,892.0,Plot area 892(82.87 sq.m.),1,1,2,not available,"925, Sector 39 Gurgaon, Gurgaon, Haryana",2,Na,10+ Year Old,"['state bank of india atm', 'axis bank atm', 'icici bank atm', 'icici atm', 'citi bank atm', 'axis bank atm', 'hdfc atm', 'hdfc bank atm', 'state bank of india atm', 'standard chartered atm', 'hdfc bank atm', 'dispencery', 'sukhmani hospital pvt. ltd', ""dr akram jawed's the upper limb clinic"", 'medanta', 'shivam hospital gurgaon', 'bansal medicare and maternity centre', 'ahmed hospital multi speciality', 'dayal eye & maternity centre', 'samvit health care', 'pushpanjali hospital gurgaon', 'pushpanjali hospital', 'gurgaon election commission', 'gardian pharmacy', 'pernod ricard charitable dispensary', 'city medical', 'gardian pharmacy', 'ibp petrol pump', 'bharat petroleum', 'hdfc bank', 'raj restaurant', 'om sweets', 'fast food', 'fast food', 'bar and restaurant', 'kfc', 'darbar', 'cafe coffee day', '32nd milestone', 'cr model public school', 'manav rachna school', 'st. angels jr', 'amity global school', 'st. angels sr', 'delhi public school primary section', 'school of inspired leadership soil', 'salvan public school', 'manav rachna swimming pool']","Sector 39 gurgaon is one of gurgaon's most sought after destination for residential houses and this 1 bhk house in sector 39 gurgaon is your opportunity to be a part of this community. Containing 1 bedroom, 1 bathroom and 2 balconies, this independent house is spread over a super built up area of 892 sq.Ft. Being a ready to move house, you can expect immediate possession of this 10+ years old property. The nature of ownership of this independent house is freehold. This independent house is available at an attractive price of 1.6 crore.",[],"['feng shui / vaastu compliant', 'maintenance staff', 'water storage', 'park', 'visitor parking', 'waste disposal', 'rain water harvesting']","['environment4 out of 5', 'lifestyle4 out of 5', 'connectivity5 out of 5', 'safety4 out of 5']"
516,2 Bedroom House for sale in Garhi Harsaru,independent,houses,0.29,3254.0,891.0,Plot area 891(82.78 sq.m.),2,1,0,not available,"Garhi Harsaru, Gurgaon, Haryana",0,West,10+ Year Old,,"Free space avilable ,friendly society,near railway station",,,"['environment4 out of 5', 'lifestyle3 out of 5', 'connectivity4 out of 5', 'safety3 out of 5']"
517,2 Bedroom House for sale in Bhondsi,"nirmal enclave, maruti kunj road",houses,0.24,5333.0,450.0,Plot area 450(41.81 sq.m.),2,2,0,not available,"Bhondsi, Gurgaon, Haryana",2,North,1 to 5 Year Old,,Registry done. Near to main maruti kunj road. Newly built-Up house. Nice locality. Nearby market. Call nine three five five six zero one four four five,[],,"['environment4 out of 5', 'lifestyle4 out of 5', 'connectivity4 out of 5', 'safety4 out of 5']"
518,4 Bedroom House for sale in G block DLF City Phase 1,independent,houses,5.6,30556.0,1833.0,Plot area 200(167.23 sq.m.),4,3,3,not available,"G block DLF City Phase 1, Gurgaon, Haryana",3,South-West,5 to 10 Year Old,"['guru dronacharya metro station', 'dlf phase 1 metro station', 'sikandarpur rmrg metro station', 'sikanderpur metro station', 'sikandarpur metro station', 'dlf phase 2 metro station', 'arjan garh metro station', 'hanuman mandir', 'icici bank atm', 'axis bank atm', 'icici bank atm', 'punjab national bank atm', 'anahat hospital', 'sikka maternity and surgical center', ""st stephen's hospital health care facility"", 'the dental lounge', 'divine look clinic centre 1', 'marwah clinic', 'krishna family clinic', 'durga poly clinic', 'upkar clinic', ""dr. khullar's dental clinic"", 'cosmodentz dental clinic', 'surgi center clinic', 'dental cure and care centre', 'kailash nursing home gurgaon', 'uma sanjeevani health centre and hospital', 'lord krishna hospital', 'shri ram memorial hospital', 'r.n clinic', 'relief physiotherapy clinic', 'garg dental care', 'rbs dental clinic', 'religare wellness', '98.4', 'guardian', 'pharmacy', 'emaar business park', 'axis bank', 'state bank of india', 'hsbc bank', 'kotak mahindra bank', 'pvr cinames', 'food court', 'bharat vasisht vidya mandir']","200 square yard independent home for sale in dlf phase 1, g block. Kohler fittings, daikin air conditioners, modular kitchen. Large balconies and terraces with rehau upvc french doors with security glass. Perfect for a nature loving family. Back yard and balconies oversee forest land. 3 bedrooms and lounge on the first floor, one room with large living areas (Dining, double height atrium and living room) that open to a green yard with guava tree, champa, sweet neem and more. Beach home aesthetic with high ceilings and loads of natural light and privacy.","['6 wardrobe', '1 fan', '1 light', '1 ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no geyser', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no washing machine', 'no water purifier']","['private garden / terrace', 'high ceiling height', 'security personnel', 'internet/wi-fi connectivity']",
519,2 Bedroom House for sale in Manohar Nagar,independent,houses,0.55,4583.0,1200.0,Carpet area: 1200 (111.48 sq.m.),2,2,0,not available,"Manohar Nagar, Gurgaon, Haryana, India, Manohar Nagar, Gurgaon, Haryana",2,North-East,undefined,"['navjeevan hospital and maternity centre', 'shiv mahima patient care bureau', 'ankur clinic and maternity home', 'shri gobind hospital', 'lal superspeciality hospital', 'mangalam hospital and heart centre gurgaon', 'satyam hospital gurgaon', 'dev man kathuria clinic', 'dr. madan clinic', 'tirath ram hospitals pvt ltd', 'sethi hospital gurgaon', 'shubham hospital gurgaon', 'swastik maternity and medical centre', 'parashar hospital', 'kathuria hospital', 'nangia hospital ent and maternity', 'pasricha hospital and maternity home', 'vinayak hospital gurgaon', 'chiranjiv hospital', 'rama hospital & nursing home', 'taneja hospital', 'my care clinic', 'rachna dental clinic', 'm.s hospital', 'triveni hospital gurgaon', 'bindal clinic', 'bhanu dental care', 'pearl dental clinic', 'geeta nursing home gurgaon', 'rajendra hospital', 'parmar dental clinic & lab', 'dr. ajay s. gupta clinic', 'ravi clinic and health care centre', 'dr. ashok jain', 'sharma hospital gurgaon', 'aryan hospital', 'thakral nursing and maternity home', 'rajiv memorial eye infirmary jacobpura', 'd.r. rajnis gupta clinic', 'nutan dental hospital', 'smile plus dental clinic', 'gupta hospital gurgaon', 'shri ram dental clinic', 'aarvy hospital', 'verma e.n.t. hospital', 'ibp petrol station', 'indian oil', 'state bank of india', 'st. michaels sr. sec. school', 'dronacharya government college']","65 gaj independent house for sale near sd memorial school madanpuri its very near to pataudi chowk nd navjeevan hospital manohar nagar, gurgaon, haryana, india",,,
520,6 Bedroom House for sale in Palam Vihar,ansals palam vihar,houses,5.0,12500.0,4000.0,Built Up area: 4000 (371.61 sq.m.),6,4,0,not available,"Palam Vihar, Palam Vihar, Gurgaon, Haryana",3,Na,undefined,,6bhk residential house for resale in ansals palam vihar at palam vihar ansals palam vihar palam vihar,"['1 light', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no fan', 'no geyser', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']",,"['environment5 out of 5', 'lifestyle5 out of 5', 'connectivity5 out of 5', 'safety4 out of 5']"
521,1 Bedroom House for sale in Sector 39 Gurgaon,independent,houses,1.8,21875.0,823.0,Plot area 900(83.61 sq.m.)Built Up area: 800 sq.ft. (74.32 sq.m.)Carpet area: 720 sq.ft. (66.89 sq.m.),1,1,2,not available,"00., Sector 39 Gurgaon, Gurgaon, Haryana",3,North-East,1 to 5 Year Old,"['axis bank atm', 'state bank of india atm', 'icici bank atm', 'icici atm', 'citi bank atm', 'axis bank atm', 'hdfc atm', 'hdfc bank atm', 'state bank of india atm', 'standard chartered atm', 'hdfc bank atm', 'dispencery', 'sukhmani hospital pvt. ltd', 'shivam hospital gurgaon', ""dr akram jawed's the upper limb clinic"", 'medanta', 'bansal medicare and maternity centre', 'ahmed hospital multi speciality', 'dayal eye & maternity centre', 'pushpanjali hospital gurgaon', 'samvit health care', 'pushpanjali hospital', 'fortis memorial research institute fortis vivekanand hospital', 'gardian pharmacy', 'pernod ricard charitable dispensary', 'city medical', 'gardian pharmacy', 'ibp petrol pump', 'bharat petroleum', 'hdfc bank', 'raj restaurant', 'om sweets', 'fast food', 'fast food', 'bar and restaurant', 'kfc', 'darbar', 'cafe coffee day', '32nd milestone', 'cr model public school', 'manav rachna school', 'st. angels jr', 'st. angels sr', 'amity global school', 'school of inspired leadership soil', 'delhi public school primary section', 'salvan public school', 'manav rachna swimming pool']",1bhk residential house for resale in sector 39 00.,,,"['environment4 out of 5', 'lifestyle4 out of 5', 'connectivity5 out of 5', 'safety4 out of 5']"
523,"9 Bedroom House for sale in Gurgaon, Delhi NCR",independent,houses,1.5,16667.0,900.0,Carpet area: 900 (83.61 sq.m.),9,3,3,not available,"Gurgaon, Delhi NCR, Gurgaon, Haryana",3,Na,undefined,,"9bhk residential house for resale in at gurgaon, delhi ncr location gurgaon","['1 light', 'no ac', 'no bed', 'no chimney', 'no curtains', 'no dining table', 'no exhaust fan', 'no fan', 'no geyser', 'no modular kitchen', 'no microwave', 'no fridge', 'no sofa', 'no stove', 'no tv', 'no wardrobe', 'no washing machine', 'no water purifier']",,
